post_location,warning_time_seconds,with_alert_screenshot,magnitude_on_alert_screenshot,distance_on_alert_screenshot_ml,alert_language,alert_screenshot_with_contour,user_approximate_location_on_alert,alert_type,alert_source,reply_sentiment,felt_shaking,alert_mode,post_alert_action,users_sentiment,users_emotion,helpfulness,system_improvement,alert_arrival_wrt_shaking,shaking_level,shaking_intensity_mmi,alert_received_by_others,indoor_vs_outdoor,user's_accompany,first_earthquake_alert_experience,user's_past_earthquake_experience,past_earthquake_damage_experience,user's_gender,alert_info_recall,aea_info_accuracy,technical_issues_with_alert,alert_info_clearance,reason_for_taking_no_action,future_trust_level,helpfulness_reason,aea_vs_others,reasoning,location_combined,warning_time_binned
UNKNOWN,10,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,SURPRISE,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MALE,"['ESTIMATED_INTENSITY_AT_THEIR_LOCATION', 'ALERT_SOURCE']",PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,AEA_ALERT_ARRIVED_EARLIER,"The user, an Apple user, expresses surprise and positive sentiment towards Google's earthquake alert system, even considering carrying an Android phone solely for this purpose. They mention that the Google system provided notifications approximately 10 seconds before the earthquake, while another application (Earthquake Network) provided warnings 15 seconds before in the same region and 45 seconds before in the Marmara region. This comparison indicates that the Google system was faster in some areas. The user's willingness to consider switching to Android suggests a high level of trust and helpfulness. The post time is estimated based on the earthquake time mentioned in the screenshot plus the 7 hours difference between EST and Istanbul time. The user's name 'Hakan Uzuner' is male.",,5-15 sec
UNKNOWN,UNKNOWN,YES,5.9,13000.00%,Turkish,NO,NOT_APPLICABLE,BE AWARE,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,BEFORE SHAKING,WEAK,MMI III,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"['ESTIMATED_MAGNITUDE', 'ESTIMATED_DISTANCE', 'ESTIMATED_INTENSITY_AT_THEIR_LOCATION']",UNKNOWN,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"The post discusses the Android Earthquake Alert system and its ability to provide warnings seconds before an earthquake. The screenshot shows a notification indicating a 'Yakındaki deprem' (Nearby earthquake) with an estimated magnitude of 5.9 and a distance of approximately 209.0 km. The notification also mentions 'Hafif sarsıntı bekleniyor' (Light shaking expected). The post highlights that Android users are receiving these alerts, while iPhone users lack a similar built-in system. The distance was converted from km to miles (209km ≈ 130 miles). The post time is estimated based on the 19 hours mentioned in the tweet text.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,SURPRISE,HELPFUL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,CONFIRMED_IT_WAS_AN_EARTHQUAKE,AEA_ALERT_ARRIVED_EARLIER,"The user praises Android's earthquake alarm system, calling it 'mükemmel' (excellent). They contrast it with iPhones, which they say remain silent even with notifications enabled. This indicates a positive sentiment towards the Android system and implies that the alert was helpful. The user's name 'Pınar' is female. The post time is estimated based on the '20h' ago information.",,
Istanbul,UNKNOWN,YES,5.5,9010.00%,Turkish,NO,NOT_APPLICABLE,BE AWARE,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"['ESTIMATED_MAGNITUDE', 'ESTIMATED_DISTANCE']",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"The post mentions that Android users received a notification seconds before the earthquake centered in Marmaris. The screenshot shows a notification from Google Play Services indicating an earthquake occurred at 02:17, approximately 145.0 km away, with an estimated magnitude of 5.5. The post time is estimated based on the alert time plus the 7 minutes mentioned in the screenshot. The distance was converted from km to miles (145km ≈ 90.1 miles).",,
UNKNOWN,60,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,The user mentions that Android devices and the Deprem A_ı application warn users 30 seconds to 1 minute before. The post expresses a general sentiment of wishing well to those affected by the earthquake. The post time is estimated based on the 21 hours mentioned in the tweet text. The user's name 'Ilkcan Alkurt' is likely male. The user felt the earthquake.,,60-120 sec
UNKNOWN,20,YES,,UNKNOWN,Turkish,NO,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,SURPRISE,UNKNOWN,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_FEMALE,['ALERT_SOURCE'],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,The user mentions that Android users received a warning 20 seconds beforehand. The screenshot shows the Android Earthquake Alerts settings. The user seems surprised by the alert. The post time is estimated based on the 21 hours ago mentioned in the tweet. The user's name 'Daisy' is likely female.,,15-30 sec
UNKNOWN,20,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,ALERT_WITH_SOUND,UNKNOWN,NEUTRAL,UNKNOWN,HELPFUL,YES,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,"The user states that they received an Android earthquake alert 20 seconds before the earthquake. They also mention that a siren alarm sound is needed. This suggests that the alert was helpful because it provided some warning time, but the user wants a more attention-grabbing sound. The user's request for a siren indicates a desire for system improvement. The post time is estimated based on the 21 hours ago mentioned in the tweet. The user's name 'anilcelik47' is likely male.",,15-30 sec
UNKNOWN,UNKNOWN,YES,,1610.00%,Turkish,YES,UNKNOWN,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,['UNKNOWN'],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"The user mentions 'Android uyarı sistemi' (Android warning system) and includes a screenshot of an alert showing affected countries and a map with a contour. The distance is given as 26 km, which is approximately 16.1 miles. The post time is estimated based on the 21 hours ago. The user's profile picture suggests the user is female. The user says 'Çok salladı' which means 'It shook a lot'. The alert type and magnitude are unknown from the screenshot. The user's sentiment is neutral, expressing sympathy ('Herkese geçmi_ olsun' - 'Get well soon everyone').",,
Antalya,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,UNKNOWN,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEGATIVE,ANNOYANCE,NOT_HELPFUL,YES,AFTER SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],INACCURATE,ALERT_NOT_APPEARING_WHEN_EXPECTED,UNKNOWN,NO_TIME,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,UNKNOWN,The user reports receiving the Android alert 15-20 seconds *after* the earthquake ('deprem oldu'). This indicates a negative experience and a perception of the alert being unhelpful because it arrived too late. The user's location is Antalya. The user's statement implies a lack of trust in the system for future events. The post time is estimated based on the 21 hours mentioned in the tweet text. The user's statement implies that there was no time to take action.,,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,SURPRISE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"The user asks if the Android application provided early information again. This implies they have received alerts from the system before. The question suggests a neutral sentiment with a hint of surprise or curiosity. The post time is estimated based on the '21h' time stamp. Since the post only asks a question and doesn't provide any further details, most fields are marked as 'UNKNOWN'.",,
UNKNOWN,15,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,UNKNOWN,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,"The user mentions using 'android' and receiving a warning 15-20 seconds beforehand. This suggests a positive experience with the AEA system, as it's built into Android. The user's statement that it's 'worth the money' implies they found it helpful. The post time is estimated based on the 21 hours ago.",,15-30 sec
Cesme,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,UNKNOWN,UNKNOWN,AEA,NOT_APPLICABLE,NOT FELT SHAKING,UNKNOWN,UNKNOWN,NEUTRAL,SURPRISE,NEUTRAL,UNKNOWN,AFTER SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ESTIMATED_MAGNITUDE'],INACCURATE,UNKNOWN,UNKNOWN,DEEMED_UNNECESSARY,NEUTRAL,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,UNKNOWN,"The user states that they did not feel the earthquake in Cesme but received an alert mentioning 6.6 magnitude. Since they didn't feel the shaking, the alert arrived after the shaking (or when there was no shaking at their location). The user took no action because they didn't feel the earthquake. The user's sentiment is neutral as they simply state the facts. The alert was not helpful because it arrived after the shaking (or when there was no shaking). The user's post suggests a level of distrust in the AEA system for future earthquake events based on this particular experience.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,CONFIRMATION_OF_POSITIVE_POST,FELT SHAKING,ALERT_WITH_SOUND,UNKNOWN,POSITIVE,REASSURANCE,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,The user states that the application provides a notification before the earthquake and sends the Android alert 2 minutes later. The user also mentions that the alarm woke them up and that the application is quite useful. This indicates a positive sentiment and that the alert arrived before the shaking. The user's name 'Merve Sahan' is female. The post time is estimated based on the earthquake time mentioned in the screenshot plus the 7 hours mentioned in the tweet text.,,
UNKNOWN,1,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,REASSURANCE,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,"The user states that the Android alert system is 'gerçekten çok iyi bir _ey' ('really a very good thing') and that being able to know even 1 second beforehand is very important. This indicates a positive sentiment and that the alert was helpful because it provided some warning time. The user mentions receiving the alert 1 second before the earthquake. The post time is estimated based on the 21 hours mentioned in the tweet text. The user expresses hope that no one was hurt, indicating a sense of reassurance.",,<5 sec
UNKNOWN,50,NO,,UNKNOWN,Turkish,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,ALERT_WITH_SOUND,EVACUATED,NEGATIVE,FEAR,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,UNKNOWN,NO_TIME,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,The user states that their Android phone gave a notification almost 50 seconds before the earthquake and that they ran outside. The user's language suggests fear and urgency. The user evacuated. The user mentions the alert arrived before the shaking. The user's statement implies that the alert was helpful because it gave them time to react. The user's gender is likely male. The user's statement implies that the alert was accurate. The user's statement implies that the alert came with a sound notification. The user's statement implies that there was no time to take any other action.,,30-60 sec
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,UNKNOWN,HELPFUL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,CONFIRMED_IT_WAS_AN_EARTHQUAKE,UNKNOWN,"The user expresses a positive sentiment towards Android's earthquake alert system, stating it's the 'best' and a 'very good system'. This suggests a positive experience and trust in the system. The post time is estimated based on the '21h' indicator. The user's name 'Turap Kılıç' is likely male.",,
